customer_id,income_tier,car_model,battery_capacity_kwh
C3927,Low-Mid,Hero Electric Optima,12.0
C3928,Low-Mid,Citroen eC3 Feel,29.2
C3929,Mid-Range,Mahindra e2o Plus,18.5
C3930,Low-Mid,Ola S1 Pro (4W equiv),22.0
C3931,Low-Mid,Citroen eC3 Feel,29.2
C3932,Low-Mid,Ola S1 Pro (4W equiv),22.0
C3933,Low-Mid,Tata Tiago EV,24.0
C3934,Low-Mid,Tata Tigor EV Base,21.5
C3935,Low-Mid,Tata Tigor EV Base,21.5
C3936,High,Volvo XC40 Recharge,75.0
C3937,Mid-Range,Tata Nexon EV,30.2
C3938,Low-Mid,Citroen eC3 Feel,29.2
C3939,Low-Mid,Greaves Eltra,16.0
C3940,Low-Mid,Hero Electric Optima,12.0
C3941,Low-Mid,Tata Tigor EV Base,21.5
C3942,High,Mercedes EQB,66.5
C3943,Low-Mid,Citroen eC3 Feel,29.2
C3944,Mid-Range,Citroen eC3,29.2
C3945,Mid-Range,Mahindra XUV400 EC Pro,39.4
C3946,Low-Mid,Tata Tigor EV Base,21.5
C3947,Low-Mid,Citroen eC3 Feel,29.2
C3948,Low-Mid,Greaves Eltra,16.0
C3949,Low-Mid,Citroen eC3 Feel,29.2
C3950,Low-Mid,Ather 450X (4W equiv),20.0
C3951,Mid-Range,Mahindra XUV400 EC Pro,39.4
C3952,Low-Mid,Greaves Eltra,16.0
C3953,Low-Mid,Ampere Nexus,30.0
C3954,Low-Mid,Tata Tigor EV Base,21.5
C3955,Low-Mid,Ampere Nexus,30.0
C3956,High,BYD Atto 3 Superior,60.5
C3957,Low-Mid,Ather 450X (4W equiv),20.0
C3958,Mid-Range,Hyundai Kona Electric,39.2
C3959,Low-Mid,Tata Tiago EV,24.0
C3960,Mid-Range,Hyundai Kona Electric,39.2
C3961,Low-Mid,Ola S1 Pro (4W equiv),22.0
C3962,High,Volvo XC40 Recharge,75.0
C3963,Mid-Range,Tata Punch EV,35.0
C3964,Mid-Range,Tata Punch EV,35.0
C3965,Low-Mid,Tata Tigor EV Base,21.5
C3966,High,Audi e-tron 55,95.0
C3967,Low-Mid,Greaves Eltra,16.0
C3968,Mid-Range,Tata Punch EV,35.0
C3969,Mid-Range,Tata Nexon EV,30.2
C3970,Low-Mid,Citroen eC3 Feel,29.2
C3971,Low-Mid,Tata Tigor EV Base,21.5
C3972,High,Volvo XC40 Recharge,75.0
C3973,Mid-Range,Tata Tigor EV,26.0
C3974,Mid-Range,Hyundai Kona Electric,39.2
C3975,Low-Mid,Ampere Nexus,30.0
C3976,Low-Mid,Ather 450X (4W equiv),20.0
C3977,Mid-Range,Mahindra e2o Plus,18.5
C3978,Low-Mid,Greaves Eltra,16.0
C3979,Mid-Range,Mahindra XUV400 EC Pro,39.4
C3980,Low-Mid,Hero Electric Optima,12.0
C3981,Mid-Range,Tata Punch EV,35.0
C3982,Low-Mid,Greaves Eltra,16.0
C3983,Mid-Range,Tata Tigor EV,26.0
C3984,Low-Mid,Ather 450X (4W equiv),20.0
C3985,Low-Mid,Tata Tiago EV,24.0
C3986,Mid-Range,Citroen eC3,29.2
C3987,Mid-Range,Tata Punch EV,35.0
C3988,Low-Mid,Ampere Nexus,30.0
C3989,Mid-Range,Tata Nexon EV,30.2
C3990,Low-Mid,Hero Electric Optima,12.0
C3991,Mid-Range,Tata Tigor EV,26.0
C3992,Low-Mid,Hero Electric Optima,12.0
C3993,Low-Mid,Citroen eC3 Feel,29.2
C3994,Mid-Range,Hyundai Kona Electric,39.2
C3995,Mid-Range,Tata Nexon EV,30.2
C3996,Low-Mid,Ather 450X (4W equiv),20.0
C3997,Low-Mid,Ampere Nexus,30.0
C3998,Low-Mid,Ampere Nexus,30.0
C3999,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4000,Low-Mid,Tata Tigor EV Base,21.5
C4001,Mid-Range,Tata Tigor EV,26.0
C4002,Mid-Range,Citroen eC3,29.2
C4003,High,Volvo XC40 Recharge,75.0
C4004,Low-Mid,Ampere Nexus,30.0
C4005,Low-Mid,Tata Tiago EV,24.0
C4006,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4007,High,BYD Atto 3 Superior,60.5
C4008,High,Audi e-tron 55,95.0
C4009,Low-Mid,Tata Tigor EV Base,21.5
C4010,Mid-Range,MG Comet EV,17.3
C4011,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4012,Low-Mid,Hero Electric Optima,12.0
C4013,Mid-Range,Citroen eC3,29.2
C4014,Low-Mid,Tata Tiago EV,24.0
C4015,High,Audi e-tron 55,95.0
C4016,High,Mercedes EQB,66.5
C4017,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4018,Mid-Range,MG Comet EV,17.3
C4019,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4020,Low-Mid,Greaves Eltra,16.0
C4021,Low-Mid,Tata Tiago EV,24.0
C4022,Low-Mid,Hero Electric Optima,12.0
C4023,Low-Mid,Citroen eC3 Feel,29.2
C4024,High,BYD Atto 3 Superior,60.5
C4025,Mid-Range,Hyundai Kona Electric,39.2
C4026,Low-Mid,Ampere Nexus,30.0
C4027,Low-Mid,Greaves Eltra,16.0
C4028,Low-Mid,Ather 450X (4W equiv),20.0
C4029,Mid-Range,Tata Tigor EV,26.0
C4030,Mid-Range,Tata Nexon EV,30.2
C4031,Low-Mid,Ampere Nexus,30.0
C4032,Low-Mid,Hero Electric Optima,12.0
C4033,Mid-Range,Citroen eC3,29.2
C4034,High,Volvo XC40 Recharge,75.0
C4035,Mid-Range,Hyundai Kona Electric,39.2
C4036,Low-Mid,Ather 450X (4W equiv),20.0
C4037,Mid-Range,Mahindra e2o Plus,18.5
C4038,Mid-Range,Tata Nexon EV,30.2
C4039,Mid-Range,Tata Tigor EV,26.0
C4040,High,BMW iX1,66.5
C4041,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4042,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4043,Low-Mid,Hero Electric Optima,12.0
C4044,Mid-Range,Tata Punch EV,35.0
C4045,Low-Mid,Tata Tigor EV Base,21.5
C4046,High,Kia EV6,77.4
C4047,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4048,Mid-Range,MG Comet EV,17.3
C4049,Mid-Range,MG Comet EV,17.3
C4050,High,Kia EV6,77.4
C4051,High,Hyundai Ioniq 5,72.6
C4052,Mid-Range,Mahindra e2o Plus,18.5
C4053,Low-Mid,Hero Electric Optima,12.0
C4054,Mid-Range,Tata Nexon EV,30.2
C4055,Low-Mid,Ampere Nexus,30.0
C4056,Mid-Range,Tata Punch EV,35.0
C4057,Low-Mid,Greaves Eltra,16.0
C4058,Mid-Range,MG Comet EV,17.3
C4059,Low-Mid,Citroen eC3 Feel,29.2
C4060,Low-Mid,Ather 450X (4W equiv),20.0
C4061,High,MG ZS EV Exclusive,50.3
C4062,Low-Mid,Hero Electric Optima,12.0
C4063,Low-Mid,Ather 450X (4W equiv),20.0
C4064,Low-Mid,Tata Tigor EV Base,21.5
C4065,Low-Mid,Ather 450X (4W equiv),20.0
C4066,Mid-Range,Citroen eC3,29.2
C4067,Low-Mid,Tata Tiago EV,24.0
C4068,Mid-Range,Citroen eC3,29.2
C4069,Low-Mid,Ampere Nexus,30.0
C4070,Low-Mid,Tata Tigor EV Base,21.5
C4071,Mid-Range,Citroen eC3,29.2
C4072,Low-Mid,Citroen eC3 Feel,29.2
C4073,Low-Mid,Hero Electric Optima,12.0
C4074,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4075,Mid-Range,Hyundai Kona Electric,39.2
C4076,Mid-Range,Hyundai Kona Electric,39.2
C4077,High,Kia EV6,77.4
C4078,High,Tata Nexon EV Max,40.5
C4079,Mid-Range,Tata Punch EV,35.0
C4080,Mid-Range,Citroen eC3,29.2
C4081,Low-Mid,Tata Tiago EV,24.0
C4082,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4083,Mid-Range,Tata Nexon EV,30.2
C4084,Mid-Range,Mahindra e2o Plus,18.5
C4085,Mid-Range,Citroen eC3,29.2
C4086,Mid-Range,Tata Punch EV,35.0
C4087,Mid-Range,Hyundai Kona Electric,39.2
C4088,Low-Mid,Citroen eC3 Feel,29.2
C4089,Mid-Range,Hyundai Kona Electric,39.2
C4090,Low-Mid,Citroen eC3 Feel,29.2
C4091,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4092,Low-Mid,Ampere Nexus,30.0
C4093,Low-Mid,Ather 450X (4W equiv),20.0
C4094,Low-Mid,Tata Tigor EV Base,21.5
C4095,Low-Mid,Ampere Nexus,30.0
C4096,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4097,Low-Mid,Hero Electric Optima,12.0
C4098,Mid-Range,MG Comet EV,17.3
C4099,Low-Mid,Tata Tiago EV,24.0
C4100,Mid-Range,Hyundai Kona Electric,39.2
C4101,Mid-Range,Tata Nexon EV,30.2
C4102,Low-Mid,Tata Tiago EV,24.0
C4103,Low-Mid,Ampere Nexus,30.0
C4104,Mid-Range,Hyundai Kona Electric,39.2
C4105,Low-Mid,Ampere Nexus,30.0
C4106,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4107,Low-Mid,Ather 450X (4W equiv),20.0
C4108,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4109,Low-Mid,Tata Tigor EV Base,21.5
C4110,High,Hyundai Ioniq 5,72.6
C4111,Mid-Range,MG Comet EV,17.3
C4112,High,Volvo XC40 Recharge,75.0
C4113,Low-Mid,Greaves Eltra,16.0
C4114,Mid-Range,Tata Punch EV,35.0
C4115,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4116,High,Kia EV6,77.4
C4117,Low-Mid,Tata Tiago EV,24.0
C4118,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4119,Low-Mid,Ather 450X (4W equiv),20.0
C4120,Low-Mid,Citroen eC3 Feel,29.2
C4121,Low-Mid,Tata Tigor EV Base,21.5
C4122,Low-Mid,Ather 450X (4W equiv),20.0
C4123,Low-Mid,Tata Tigor EV Base,21.5
C4124,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4125,High,Mercedes EQB,66.5
C4126,Mid-Range,Tata Nexon EV,30.2
C4127,High,BMW iX1,66.5
C4128,High,MG ZS EV Exclusive,50.3
C4129,High,Kia EV6,77.4
C4130,Mid-Range,Hyundai Kona Electric,39.2
C4131,High,BMW iX1,66.5
C4132,Mid-Range,Hyundai Kona Electric,39.2
C4133,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4134,High,Hyundai Ioniq 5,72.6
C4135,Low-Mid,Ather 450X (4W equiv),20.0
C4136,Low-Mid,Greaves Eltra,16.0
C4137,Mid-Range,Hyundai Kona Electric,39.2
C4138,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4139,Low-Mid,Greaves Eltra,16.0
C4140,Mid-Range,Tata Punch EV,35.0
C4141,Mid-Range,Hyundai Kona Electric,39.2
C4142,Mid-Range,Tata Tigor EV,26.0
C4143,Low-Mid,Ampere Nexus,30.0
C4144,Low-Mid,Tata Tiago EV,24.0
C4145,Low-Mid,Tata Tiago EV,24.0
C4146,Low-Mid,Tata Tigor EV Base,21.5
C4147,Mid-Range,Tata Tigor EV,26.0
C4148,Low-Mid,Tata Tiago EV,24.0
C4149,Low-Mid,Greaves Eltra,16.0
C4150,Low-Mid,Hero Electric Optima,12.0
C4151,High,Tata Nexon EV Max,40.5
C4152,High,Hyundai Ioniq 5,72.6
C4153,Low-Mid,Ather 450X (4W equiv),20.0
C4154,Low-Mid,Greaves Eltra,16.0
C4155,Low-Mid,Citroen eC3 Feel,29.2
C4156,Mid-Range,Tata Tigor EV,26.0
C4157,Low-Mid,Ampere Nexus,30.0
C4158,Low-Mid,Hero Electric Optima,12.0
C4159,Mid-Range,Mahindra e2o Plus,18.5
C4160,High,Kia EV6,77.4
C4161,Mid-Range,Tata Punch EV,35.0
C4162,Mid-Range,Mahindra e2o Plus,18.5
C4163,Low-Mid,Hero Electric Optima,12.0
C4164,Low-Mid,Greaves Eltra,16.0
C4165,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4166,Mid-Range,MG Comet EV,17.3
C4167,High,Hyundai Ioniq 5,72.6
C4168,High,Mercedes EQB,66.5
C4169,Low-Mid,Hero Electric Optima,12.0
C4170,Low-Mid,Ampere Nexus,30.0
C4171,High,Tata Nexon EV Max,40.5
C4172,Low-Mid,Hero Electric Optima,12.0
C4173,Mid-Range,Tata Tigor EV,26.0
C4174,High,Volvo XC40 Recharge,75.0
C4175,Low-Mid,Ampere Nexus,30.0
C4176,High,Audi e-tron 55,95.0
C4177,Low-Mid,Greaves Eltra,16.0
C4178,Low-Mid,Ampere Nexus,30.0
C4179,Low-Mid,Citroen eC3 Feel,29.2
C4180,Low-Mid,Citroen eC3 Feel,29.2
C4181,Low-Mid,Tata Tiago EV,24.0
C4182,Mid-Range,Tata Nexon EV,30.2
C4183,High,BYD Atto 3 Superior,60.5
C4184,High,Kia EV6,77.4
C4185,Low-Mid,Tata Tigor EV Base,21.5
C4186,Mid-Range,Tata Tigor EV,26.0
C4187,High,Mercedes EQB,66.5
C4188,Low-Mid,Tata Tigor EV Base,21.5
C4189,Low-Mid,Citroen eC3 Feel,29.2
C4190,Low-Mid,Ather 450X (4W equiv),20.0
C4191,High,Audi e-tron 55,95.0
C4192,Mid-Range,Tata Punch EV,35.0
C4193,High,Volvo XC40 Recharge,75.0
C4194,Low-Mid,Hero Electric Optima,12.0
C4195,Mid-Range,Hyundai Kona Electric,39.2
C4196,Low-Mid,Hero Electric Optima,12.0
C4197,Low-Mid,Tata Tigor EV Base,21.5
C4198,Mid-Range,Mahindra e2o Plus,18.5
C4199,Mid-Range,Mahindra e2o Plus,18.5
C4200,Low-Mid,Ather 450X (4W equiv),20.0
C4201,Low-Mid,Citroen eC3 Feel,29.2
C4202,Mid-Range,Citroen eC3,29.2
C4203,Low-Mid,Citroen eC3 Feel,29.2
C4204,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4205,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4206,Low-Mid,Tata Tigor EV Base,21.5
C4207,Mid-Range,Tata Punch EV,35.0
C4208,Low-Mid,Greaves Eltra,16.0
C4209,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4210,Low-Mid,Hero Electric Optima,12.0
C4211,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4212,Mid-Range,Citroen eC3,29.2
C4213,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4214,Mid-Range,MG Comet EV,17.3
C4215,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4216,Low-Mid,Greaves Eltra,16.0
C4217,Mid-Range,MG Comet EV,17.3
C4218,Mid-Range,Tata Tigor EV,26.0
C4219,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4220,Low-Mid,Ampere Nexus,30.0
C4221,Low-Mid,Greaves Eltra,16.0
C4222,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4223,Mid-Range,Tata Nexon EV,30.2
C4224,High,Volvo XC40 Recharge,75.0
C4225,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4226,Low-Mid,Tata Tigor EV Base,21.5
C4227,Mid-Range,Tata Tigor EV,26.0
C4228,Low-Mid,Tata Tigor EV Base,21.5
C4229,Low-Mid,Ather 450X (4W equiv),20.0
C4230,Mid-Range,Tata Punch EV,35.0
C4231,Mid-Range,Citroen eC3,29.2
C4232,Mid-Range,Tata Nexon EV,30.2
C4233,Low-Mid,Tata Tigor EV Base,21.5
C4234,Low-Mid,Ampere Nexus,30.0
C4235,Mid-Range,Hyundai Kona Electric,39.2
C4236,Mid-Range,Mahindra e2o Plus,18.5
C4237,Low-Mid,Tata Tigor EV Base,21.5
C4238,Low-Mid,Citroen eC3 Feel,29.2
C4239,Mid-Range,Tata Punch EV,35.0
C4240,Low-Mid,Hero Electric Optima,12.0
C4241,Low-Mid,Ather 450X (4W equiv),20.0
C4242,Low-Mid,Tata Tiago EV,24.0
C4243,Mid-Range,Tata Punch EV,35.0
C4244,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4245,High,Mercedes EQB,66.5
C4246,Low-Mid,Tata Tiago EV,24.0
C4247,Low-Mid,Citroen eC3 Feel,29.2
C4248,Mid-Range,Tata Nexon EV,30.2
C4249,High,Audi e-tron 55,95.0
C4250,Low-Mid,Ampere Nexus,30.0
C4251,Low-Mid,Hero Electric Optima,12.0
C4252,High,BMW iX1,66.5
C4253,Low-Mid,Ather 450X (4W equiv),20.0
C4254,High,BMW iX1,66.5
C4255,Low-Mid,Ampere Nexus,30.0
C4256,Low-Mid,Ather 450X (4W equiv),20.0
C4257,High,BMW iX1,66.5
C4258,Mid-Range,Tata Nexon EV,30.2
C4259,Mid-Range,Citroen eC3,29.2
C4260,Low-Mid,Citroen eC3 Feel,29.2
C4261,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4262,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4263,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4264,High,Kia EV6,77.4
C4265,High,Kia EV6,77.4
C4266,Low-Mid,Hero Electric Optima,12.0
C4267,Mid-Range,MG Comet EV,17.3
C4268,Mid-Range,Tata Tigor EV,26.0
C4269,Low-Mid,Tata Tigor EV Base,21.5
C4270,Low-Mid,Citroen eC3 Feel,29.2
C4271,Low-Mid,Greaves Eltra,16.0
C4272,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4273,Mid-Range,MG Comet EV,17.3
C4274,Mid-Range,Tata Nexon EV,30.2
C4275,Mid-Range,Mahindra e2o Plus,18.5
C4276,Mid-Range,MG Comet EV,17.3
C4277,Mid-Range,Citroen eC3,29.2
C4278,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4279,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4280,Mid-Range,MG Comet EV,17.3
C4281,Low-Mid,Tata Tigor EV Base,21.5
C4282,High,Kia EV6,77.4
C4283,Mid-Range,Tata Tigor EV,26.0
C4284,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4285,Mid-Range,Mahindra e2o Plus,18.5
C4286,High,BYD Atto 3 Superior,60.5
C4287,Mid-Range,Tata Nexon EV,30.2
C4288,Low-Mid,Ather 450X (4W equiv),20.0
C4289,High,Audi e-tron 55,95.0
C4290,High,Audi e-tron 55,95.0
C4291,Mid-Range,Hyundai Kona Electric,39.2
C4292,Mid-Range,Mahindra e2o Plus,18.5
C4293,High,Audi e-tron 55,95.0
C4294,Low-Mid,Citroen eC3 Feel,29.2
C4295,Low-Mid,Ampere Nexus,30.0
C4296,Low-Mid,Ampere Nexus,30.0
C4297,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4298,High,Hyundai Ioniq 5,72.6
C4299,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4300,Mid-Range,MG Comet EV,17.3
C4301,Mid-Range,Tata Punch EV,35.0
C4302,Low-Mid,Ampere Nexus,30.0
C4303,Mid-Range,Tata Tigor EV,26.0
C4304,Low-Mid,Ampere Nexus,30.0
C4305,Low-Mid,Hero Electric Optima,12.0
C4306,Low-Mid,Citroen eC3 Feel,29.2
C4307,Low-Mid,Hero Electric Optima,12.0
C4308,High,Volvo XC40 Recharge,75.0
C4309,Mid-Range,Citroen eC3,29.2
C4310,Low-Mid,Tata Tiago EV,24.0
C4311,Low-Mid,Ather 450X (4W equiv),20.0
C4312,Low-Mid,Greaves Eltra,16.0
C4313,Mid-Range,Tata Tigor EV,26.0
C4314,Low-Mid,Tata Tiago EV,24.0
C4315,Mid-Range,Hyundai Kona Electric,39.2
C4316,Mid-Range,Tata Tigor EV,26.0
C4317,Low-Mid,Greaves Eltra,16.0
C4318,Low-Mid,Tata Tigor EV Base,21.5
C4319,High,Volvo XC40 Recharge,75.0
C4320,Mid-Range,Citroen eC3,29.2
C4321,Low-Mid,Tata Tigor EV Base,21.5
C4322,Mid-Range,Hyundai Kona Electric,39.2
C4323,Low-Mid,Greaves Eltra,16.0
C4324,Low-Mid,Tata Tiago EV,24.0
C4325,Mid-Range,Citroen eC3,29.2
C4326,Mid-Range,Citroen eC3,29.2
C4327,High,Hyundai Ioniq 5,72.6
C4328,Low-Mid,Tata Tiago EV,24.0
C4329,Low-Mid,Tata Tigor EV Base,21.5
C4330,Mid-Range,Mahindra e2o Plus,18.5
C4331,Low-Mid,Ather 450X (4W equiv),20.0
C4332,Low-Mid,Tata Tiago EV,24.0
C4333,Mid-Range,Hyundai Kona Electric,39.2
C4334,Low-Mid,Tata Tiago EV,24.0
C4335,Low-Mid,Ampere Nexus,30.0
C4336,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4337,Mid-Range,Mahindra e2o Plus,18.5
C4338,High,Volvo XC40 Recharge,75.0
C4339,High,Mercedes EQB,66.5
C4340,Low-Mid,Hero Electric Optima,12.0
C4341,Mid-Range,Tata Tigor EV,26.0
C4342,Mid-Range,Tata Punch EV,35.0
C4343,High,Tata Nexon EV Max,40.5
C4344,Low-Mid,Ather 450X (4W equiv),20.0
C4345,Low-Mid,Hero Electric Optima,12.0
C4346,Low-Mid,Ampere Nexus,30.0
C4347,Low-Mid,Tata Tigor EV Base,21.5
C4348,Mid-Range,MG Comet EV,17.3
C4349,Low-Mid,Greaves Eltra,16.0
C4350,Mid-Range,Tata Punch EV,35.0
C4351,Low-Mid,Ampere Nexus,30.0
C4352,Low-Mid,Tata Tigor EV Base,21.5
C4353,Low-Mid,Citroen eC3 Feel,29.2
C4354,Mid-Range,Citroen eC3,29.2
C4355,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4356,Mid-Range,Tata Punch EV,35.0
C4357,Mid-Range,Tata Tigor EV,26.0
C4358,Low-Mid,Greaves Eltra,16.0
C4359,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4360,Mid-Range,Citroen eC3,29.2
C4361,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4362,Mid-Range,Tata Punch EV,35.0
C4363,High,MG ZS EV Exclusive,50.3
C4364,Low-Mid,Citroen eC3 Feel,29.2
C4365,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4366,High,Audi e-tron 55,95.0
C4367,Low-Mid,Tata Tigor EV Base,21.5
C4368,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4369,Mid-Range,Tata Nexon EV,30.2
C4370,Mid-Range,Tata Tigor EV,26.0
C4371,Low-Mid,Greaves Eltra,16.0
C4372,Low-Mid,Greaves Eltra,16.0
C4373,High,MG ZS EV Exclusive,50.3
C4374,Mid-Range,MG Comet EV,17.3
C4375,Low-Mid,Greaves Eltra,16.0
C4376,Mid-Range,Mahindra e2o Plus,18.5
C4377,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4378,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4379,High,Tata Nexon EV Max,40.5
C4380,Low-Mid,Tata Tiago EV,24.0
C4381,Low-Mid,Hero Electric Optima,12.0
C4382,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4383,Mid-Range,Citroen eC3,29.2
C4384,High,BYD Atto 3 Superior,60.5
C4385,High,Tata Nexon EV Max,40.5
C4386,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4387,Mid-Range,Tata Tigor EV,26.0
C4388,Mid-Range,Hyundai Kona Electric,39.2
C4389,High,Mercedes EQB,66.5
C4390,Low-Mid,Hero Electric Optima,12.0
C4391,Low-Mid,Tata Tiago EV,24.0
C4392,Mid-Range,Citroen eC3,29.2
C4393,Mid-Range,Tata Punch EV,35.0
C4394,Mid-Range,Hyundai Kona Electric,39.2
C4395,High,Kia EV6,77.4
C4396,Low-Mid,Ather 450X (4W equiv),20.0
C4397,Mid-Range,MG Comet EV,17.3
C4398,Low-Mid,Citroen eC3 Feel,29.2
C4399,Mid-Range,Tata Tigor EV,26.0
C4400,Low-Mid,Citroen eC3 Feel,29.2
C4401,Low-Mid,Citroen eC3 Feel,29.2
C4402,Low-Mid,Greaves Eltra,16.0
C4403,Low-Mid,Ampere Nexus,30.0
C4404,Mid-Range,Citroen eC3,29.2
C4405,Low-Mid,Hero Electric Optima,12.0
C4406,Low-Mid,Citroen eC3 Feel,29.2
C4407,Low-Mid,Ampere Nexus,30.0
C4408,Mid-Range,MG Comet EV,17.3
C4409,Low-Mid,Greaves Eltra,16.0
C4410,Mid-Range,Tata Tigor EV,26.0
C4411,Low-Mid,Hero Electric Optima,12.0
C4412,High,BYD Atto 3 Superior,60.5
C4413,Mid-Range,Citroen eC3,29.2
C4414,Mid-Range,MG Comet EV,17.3
C4415,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4416,Mid-Range,Mahindra e2o Plus,18.5
C4417,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4418,Low-Mid,Ampere Nexus,30.0
C4419,Mid-Range,Hyundai Kona Electric,39.2
C4420,Mid-Range,Tata Punch EV,35.0
C4421,Low-Mid,Greaves Eltra,16.0
C4422,Mid-Range,Tata Tigor EV,26.0
C4423,High,BMW iX1,66.5
C4424,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4425,Mid-Range,Tata Nexon EV,30.2
C4426,Low-Mid,Tata Tiago EV,24.0
C4427,Low-Mid,Tata Tiago EV,24.0
C4428,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4429,Low-Mid,Ather 450X (4W equiv),20.0
C4430,Low-Mid,Greaves Eltra,16.0
C4431,Mid-Range,Tata Tigor EV,26.0
C4432,High,BMW iX1,66.5
C4433,High,Tata Nexon EV Max,40.5
C4434,Low-Mid,Ather 450X (4W equiv),20.0
C4435,Low-Mid,Tata Tigor EV Base,21.5
C4436,High,Hyundai Ioniq 5,72.6
C4437,Low-Mid,Greaves Eltra,16.0
C4438,High,Hyundai Ioniq 5,72.6
C4439,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4440,Low-Mid,Citroen eC3 Feel,29.2
C4441,Mid-Range,Hyundai Kona Electric,39.2
C4442,Low-Mid,Hero Electric Optima,12.0
C4443,High,Kia EV6,77.4
C4444,Mid-Range,Citroen eC3,29.2
C4445,Low-Mid,Ather 450X (4W equiv),20.0
C4446,Low-Mid,Ather 450X (4W equiv),20.0
C4447,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4448,Low-Mid,Tata Tigor EV Base,21.5
C4449,Low-Mid,Ather 450X (4W equiv),20.0
C4450,Low-Mid,Hero Electric Optima,12.0
C4451,Mid-Range,MG Comet EV,17.3
C4452,Low-Mid,Tata Tigor EV Base,21.5
C4453,Low-Mid,Tata Tiago EV,24.0
C4454,Mid-Range,Citroen eC3,29.2
C4455,Low-Mid,Ather 450X (4W equiv),20.0
C4456,High,Kia EV6,77.4
C4457,Low-Mid,Greaves Eltra,16.0
C4458,High,Volvo XC40 Recharge,75.0
C4459,High,BMW iX1,66.5
C4460,Low-Mid,Ather 450X (4W equiv),20.0
C4461,Low-Mid,Greaves Eltra,16.0
C4462,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4463,Mid-Range,Tata Tigor EV,26.0
C4464,Mid-Range,Citroen eC3,29.2
C4465,Mid-Range,Citroen eC3,29.2
C4466,Low-Mid,Ampere Nexus,30.0
C4467,Mid-Range,Citroen eC3,29.2
C4468,Mid-Range,Tata Tigor EV,26.0
C4469,Mid-Range,Mahindra XUV400 EC Pro,39.4
C4470,Low-Mid,Tata Tiago EV,24.0
C4471,Mid-Range,Tata Nexon EV,30.2
C4472,Low-Mid,Ola S1 Pro (4W equiv),22.0
C4473,Low-Mid,Tata Tiago EV,24.0
C4474,Mid-Range,Citroen eC3,29.2
C4475,Mid-Range,Hyundai Kona Electric,39.2
C4476,Low-Mid,Citroen eC3 Feel,29.2
C4477,High,Volvo XC40 Recharge,75.0
C4478,High,Mercedes EQB,66.5
C4479,Mid-Range,Hyundai Kona Electric,39.2
